Date,Open,High,Low,Close,Volume,Turnover
11-06-2013,5848.75,5868.05,5780.35,5788.8,180902123,66955700000
12-06-2013,5771.75,5792.9,5738.6,5760.2,140394424,58940400000
13-06-2013,5709.35,5729.85,5683.1,5699.1,142041404,54624500000
14-06-2013,5748.95,5819.4,5739.4,5808.4,124410018,51213300000
17-06-2013,5820.4,5854.9,5770.25,5850.05,107160887,45608400000
18-06-2013,5841.9,5863.4,5804.3,5813.6,117541145,45919100000
19-06-2013,5805.75,5828.4,5777.9,5822.25,115539008,46431700000
20-06-2013,5754.15,5755,5645.65,5655.9,198400131,71480000000
21-06-2013,5639.9,5686.15,5616.85,5667.65,182410583,66971800000
24-06-2013,5638.05,5640,5566.25,5590.25,193488581,63088800000
25-06-2013,5606.95,5666.25,5570.25,5609.1,196571543,67924900000
26-06-2013,5627.95,5635.25,5579.35,5588.7,160095940,59393000000
27-06-2013,5647.95,5699.35,5630.95,5682.35,239029425,91842900000
28-06-2013,5749.5,5852.95,5749.5,5842.2,214402430,87533300000
01-07-2013,5834.1,5904.35,5822.2,5898.85,144794030,54057200000
02-07-2013,5885.5,5898.8,5852.3,5857.55,145721790,51630900000
03-07-2013,5811.95,5815,5760.4,5770.9,160523863,52192400000
04-07-2013,5794.75,5848.2,5786.05,5836.95,151929179,54298700000
05-07-2013,5889.95,5900.45,5858.45,5867.9,123586417,43039300000
08-07-2013,5833.15,5833.85,5775.55,5811.55,127624733,48235200000
09-07-2013,5834.6,5864.95,5834.6,5859,110427867,46615500000
10-07-2013,5869.9,5879.35,5802.85,5816.7,117516350,48205300000
11-07-2013,5894.5,5948.85,5887.95,5935.1,120195681,48822900000
12-07-2013,6000.5,6019,5951.15,6009,127707078,65912700000
15-07-2013,5991.2,6038.2,5980.95,6030.8,116275729,46419700000
16-07-2013,5930.8,5966.05,5910.95,5955.25,151162819,59158000000
17-07-2013,5972.25,5989.8,5926.75,5973.3,191516153,83495900000
18-07-2013,5984.7,6051.1,5974.55,6038.05,171728134,77748300000
19-07-2013,6057.2,6066.85,6020.25,6029.2,163311714,79877500000
22-07-2013,6009.75,6064.15,6004.25,6031.8,115168337,51171900000
23-07-2013,6064.3,6093.35,6061.3,6077.8,126469251,54596200000
